pmkAthleteID,fldName,fldSex,fldAge,fldHeight,fldWeight,fpkNationality,fldYear,fldCity,fpkSport,fldEvent
73,Luc Abalo,M,27,182,86,FRA,2012,London,Handball,Handball Men's Handball
608,Ahmad Abughaush,M,20,178,68,JOR,2016,Rio de Janeiro,Taekwondo,Taekwondo Men's Featherweight
629,William Accambray,M,24,194,104,FRA,2012,London,Handball,Handball Men's Handball
832,Nicola Virginia Adams,F,29,164,51,GBR,2012,London,Boxing,Boxing Women's Flyweight
832,Nicola Virginia Adams,F,33,164,51,GBR,2016,Rio de Janeiro,Boxing,Boxing Women's Flyweight
846,Valerie Kasanita Adams-Vili (-Price),F,27,193,120,NZL,2012,London,Athletics,Athletics Women's Shot Put
849,Filip Kamil Adamski,M,29,189,87,GER,2012,London,Rowing,Rowing Men's Coxed Eights
925,Adenzia Aparecida Ferreira da Silva,F,25,187,65,BRA,2012,London,Volleyball,Volleyball Women's Volleyball
1017,Nathan Ghar-Jun Adrian,M,23,198,100,USA,2012,London,Swimming,Swimming Men's 100 metres Freestyle
1017,Nathan Ghar-Jun Adrian,M,23,198,100,USA,2012,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay
1017,Nathan Ghar-Jun Adrian,M,27,198,100,USA,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
1017,Nathan Ghar-Jun Adrian,M,27,198,100,USA,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay
1169,Marilyn Agliotti,F,33,172,58,NED,2012,London,Hockey,Hockey Women's Hockey
1173,Yannick Agnel,M,20,202,90,FRA,2012,London,Swimming,Swimming Men's 200 metres Freestyle
1173,Yannick Agnel,M,20,202,90,FRA,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
1374,Tontowi Ahmad,M,29,179,72,INA,2016,Rio de Janeiro,Badminton,Badminton Mixed Doubles
1498,Charles Benedict Ben Ainslie,M,35,183,90,GBR,2012,London,Sailing,Sailing Men's One Person Heavyweight Dinghy
1634,Taha Akgl,M,25,192,125,TUR,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle"
1649,Artur Kamilevich Akhmatkhuzin,M,28,187,79,RUS,2016,Rio de Janeiro,Fencing,"Fencing Men's Foil, Team"
1682,Morolake Akinosun,F,22,163,61,USA,2016,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay
1858,Fehaid Al-Deehani,M,49,178,95,IOA,2016,Rio de Janeiro,Shooting,Shooting Men's Double Trap
2210,Marina Alabau Neira,F,26,164,55,ESP,2012,London,Sailing,Sailing Women's Windsurfer
